SYMBOL;NAME;MARKET CAPITALIZATION $M;PRICE/EARNINGS TTM;EARNINGS PER SHARE TTM;ANNUAL NET INCOME;60-MONTH BETAÂ ;DIVIDEND RATE;DIVIDEND YIELD;
APA;Apa Corp;10731;4.39;7.74;3674000000;3.52;1.00;2.90%;
MRO;Marathon Oil Corp;13953;4.93;4.46;3612000000;2.38;0.40;1.81%;
DVN;Devon Energy Corp;30456;5.62;8.31;6015000000;2.33;0.80;1.72%;
TRGP;Targa Resources;15303;17.19;3.89;1142300000;2.29;1.40;2.07%;
HAL;Halliburton Company;26762;13.62;2.16;1572000000;2.12;0.64;2.16%;
FANG;Diamondback Energy;23026;5.27;24.04;4386000000;2.03;3.20;2.55%;
SLB;Schlumberger N.V.;63654;20.86;2.18;3441000000;1.77;1.00;2.24%;
OXY;Occidental Petroleum Corp;52366;6.27;9.33;13304000000;1.77;0.72;1.24%;
OKE;Oneok Inc;26601;15.31;3.83;1722220000;1.68;3.82;6.42%;
VLO;Valero Energy Corp;47975;4.46;29.26;11528000000;1.65;4.08;3.16%;
MPC;Marathon Petroleum Corp;55071;4.75;26.56;14516000000;1.60;3.00;2.41%;
HES;Hess Corp;37504;16.93;7.12;2096000000;1.55;1.75;1.43%;
EOG;Eog Resources;61999;7.62;13.75;7759000000;1.52;3.30;3.13%;
BKR;Baker Hughes Company;27323;29.70;0.90;-601000000;1.46;0.76;2.81%;
PXD;Pioneer Natural Resources Company;45172;6.20;30.49;7845000000;1.41;4.40;2.29%;
PSX;Phillips 66;43482;5.04;18.55;11024000000;1.37;4.20;4.48%;
COP;Conocophillips;116308;7.15;13.49;18680000000;1.29;2.04;2.14%;
EQT;Eqt Corp;11013;9.53;3.10;1770970000;1.18;0.60;1.96%;
WMB;Williams Companies;35029;15.55;1.82;2049000000;1.17;1.79;6.23%;
CVX;Chevron Corp;297556;8.21;18.83;35465000000;1.16;6.04;3.87%;
XOM;Exxon Mobil Corp;421469;7.35;14.06;55740000000;1.09;3.64;3.52%;
KMI;Kinder Morgan;37744;14.25;1.15;2548000000;0.95;1.11;6.61%;
CTRA;Coterra Energy Inc;18127;4.77;4.84;4065000000;0.25;0.80;3.38%;
