;SYMBOL;NAME;MARKET CAPITALIZATION;PRICE/EARNINGS;EARNINGS PER SHARE;ANNUAL NET INCOME;60-MONTH BETAÂ ;DIVIDEND RATE;DIVIDEND YIELD;MARKET CAPITALIZATION_RANK;PRICE/EARNINGS_RANK;DIVIDEND YIELD_RANK;TOTAL_RANK;Ranking
1;CVX;Chevron Corp;297556;8,21;18,83;35465000000;1,16;6,04;3,87;2;10;5;17,1;1
2;XOM;Exxon Mobil Corp;421469;7,35;14,06;55740000000;1,09;3,64;3,52;1;12;6;19,05;2
3;KMI;Kinder Morgan;37744;14,25;1,15;2548000000;0,95;1,11;6,61;11;7;1;19,55;3
4;SLB;Schlumberger N.V.;63654;20,86;2,18;3441000000;1,77;1,0;2,24;4;2;15;21,2;4
5;WMB;Williams Companies;35029;15,55;1,82;2049000000;1,17;1,79;6,23;13;5;3;21,65;5
6;EOG;Eog Resources;61999;7,62;13,75;7759000000;1,52;3,3;3,13;5;11;9;25,25;6
7;OKE;Oneok Inc;26601;15,31;3,83;1722220000;1,68;3,82;6,42;17;6;2;25,85;7
8;BKR;Baker Hughes Company;27323;29,7;0,9;-601000000;1,46;0,76;2,81;15;1;11;27,75;8
9;PSX;Phillips 66;43482;5,04;18,55;11024000000;1,37;4,2;4,48;10;18;4;32,5;9
10;COP;Conocophillips;116308;7,15;13,49;18680000000;1,29;2,04;2,14;3;13;17;33,15;10
11;VLO;Valero Energy Corp;47975;4,46;29,26;11528000000;1,65;4,08;3,16;8;22;8;38,4;11
12;PXD;Pioneer Natural Resources Company;45172;6,2;30,49;7845000000;1,41;4,4;2,29;9;15;14;38,45;12
13;HES;Hess Corp;37504;16,93;7,12;2096000000;1,55;1,75;1,43;12;4;22;38,6;13
14;MPC;Marathon Petroleum Corp;55071;4,75;26,56;14516000000;1,6;3,0;2,41;6;21;13;40,3;14
15;HAL;Halliburton Company;26762;13,62;2,16;1572000000;2,12;0,64;2,16;16;8;16;40,8;15
16;TRGP;Targa Resources;15303;17,19;3,89;1142300000;2,29;1,4;2,07;20;3;18;42,0;16
17;OXY;Occidental Petroleum Corp;52366;6,27;9,33;13304000000;1,77;0,72;1,24;7;14;23;44,35;17
18;CTRA;Coterra Energy Inc;18127;4,77;4,84;4065000000;0,25;0,8;3,38;19;20;7;46,95;18
19;FANG;Diamondback Energy;23026;5,27;24,04;4386000000;2,03;3,2;2,55;18;17;12;47,900000000000006;19
20;EQT;Eqt Corp;11013;9,53;3,1;1770970000;1,18;0,6;1,96;22;9;19;51,1;20
21;DVN;Devon Energy Corp;30456;5,62;8,31;6015000000;2,33;0,8;1,72;14;16;21;51,7;21
22;APA;Apa Corp;10731;4,39;7,74;3674000000;3,52;1,0;2,9;23;23;10;57,150000000000006;22
23;MRO;Marathon Oil Corp;13953;4,93;4,46;3612000000;2,38;0,4;1,81;21;19;20;61,05;23
